sequenceID	source.name	species	subtype	genotype
HW270189	ncbi-nuccore-hmpv	HMPV	A	A2a
HW270190	ncbi-nuccore-hmpv	HMPV	B	-
HW270191	ncbi-nuccore-hmpv	HMPV	B	B2
HW287443	ncbi-nuccore-hmpv	HMPV	A	-
HW287444	ncbi-nuccore-hmpv	-	-	-
HW287445	ncbi-nuccore-hmpv	HMPV	-	-
HW287446	ncbi-nuccore-hmpv	-	-	-
HW287447	ncbi-nuccore-hmpv	HMPV	A	-
HW287448	ncbi-nuccore-hmpv	-	-	-
HW287449	ncbi-nuccore-hmpv	-	-	-
HW287450	ncbi-nuccore-hmpv	-	-	-
HW287451	ncbi-nuccore-hmpv	-	-	-
HW287452	ncbi-nuccore-hmpv	HMPV	-	-
HW430494	ncbi-nuccore-hmpv	HMPV	A	-
JA250462	ncbi-nuccore-hmpv	HMPV	A	A2a
JA417608	ncbi-nuccore-hmpv	HMPV	A	-
JA417609	ncbi-nuccore-hmpv	-	-	-
JA417610	ncbi-nuccore-hmpv	HMPV	-	-
JA417611	ncbi-nuccore-hmpv	-	-	-
JA417612	ncbi-nuccore-hmpv	HMPV	A	-
JA417613	ncbi-nuccore-hmpv	-	-	-
JA417614	ncbi-nuccore-hmpv	-	-	-
JA417615	ncbi-nuccore-hmpv	-	-	-
JA417616	ncbi-nuccore-hmpv	-	-	-
JA417617	ncbi-nuccore-hmpv	HMPV	-	-
JF325877	ncbi-nuccore-hmpv	HMPV	A	A2b1
JF325878	ncbi-nuccore-hmpv	HMPV	A	A2b1
JF325879	ncbi-nuccore-hmpv	HMPV	A	A2b1
JF325880	ncbi-nuccore-hmpv	HMPV	B	B1
JF325881	ncbi-nuccore-hmpv	HMPV	B	B1
JF325882	ncbi-nuccore-hmpv	HMPV	A	A2b1
JF509957	ncbi-nuccore-hmpv	HMPV	A	A2b1
JF723501	ncbi-nuccore-hmpv	HMPV	B	B2
JF723502	ncbi-nuccore-hmpv	HMPV	B	B2
JF723503	ncbi-nuccore-hmpv	HMPV	B	B2
JF723504	ncbi-nuccore-hmpv	HMPV	B	B2
JF723505	ncbi-nuccore-hmpv	HMPV	B	B2
JF907707	ncbi-nuccore-hmpv	HMPV	B	B1
JF907708	ncbi-nuccore-hmpv	HMPV	B	B1
JF907709	ncbi-nuccore-hmpv	HMPV	B	B1
JF907710	ncbi-nuccore-hmpv	HMPV	A	A2b1
JF907711	ncbi-nuccore-hmpv	HMPV	B	-
JF907712	ncbi-nuccore-hmpv	HMPV	A	A2a
JF907713	ncbi-nuccore-hmpv	HMPV	A	A2a
JF907714	ncbi-nuccore-hmpv	HMPV	A	A2a
JF907715	ncbi-nuccore-hmpv	HMPV	B	B2
JF907716	ncbi-nuccore-hmpv	HMPV	B	-
JF907717	ncbi-nuccore-hmpv	HMPV	B	B1
JF907718	ncbi-nuccore-hmpv	HMPV	A	A2a
JF907719	ncbi-nuccore-hmpv	HMPV	B	B2
JF907720	ncbi-nuccore-hmpv	HMPV	A	-
JF907721	ncbi-nuccore-hmpv	HMPV	A	-
JF907722	ncbi-nuccore-hmpv	HMPV	A	A2a
JF907723	ncbi-nuccore-hmpv	HMPV	A	-
JF907724	ncbi-nuccore-hmpv	HMPV	A	-
JF907725	ncbi-nuccore-hmpv	HMPV	A	-
JF907726	ncbi-nuccore-hmpv	HMPV	A	A2a
JF907727	ncbi-nuccore-hmpv	HMPV	A	A2a
JF907728	ncbi-nuccore-hmpv	HMPV	A	A2a
JF907729	ncbi-nuccore-hmpv	HMPV	A	A2a
JF907730	ncbi-nuccore-hmpv	HMPV	A	A2a
JF907731	ncbi-nuccore-hmpv	HMPV	-	-
JF907732	ncbi-nuccore-hmpv	HMPV	A	A2b1
JF907733	ncbi-nuccore-hmpv	HMPV	A	-
JF907734	ncbi-nuccore-hmpv	HMPV	-	-
JF907735	ncbi-nuccore-hmpv	HMPV	B	B1
JF907736	ncbi-nuccore-hmpv	HMPV	A	-
JF907737	ncbi-nuccore-hmpv	HMPV	A	A2b1
JF907738	ncbi-nuccore-hmpv	HMPV	B	-
JF907739	ncbi-nuccore-hmpv	HMPV	A	A1
JF907740	ncbi-nuccore-hmpv	HMPV	B	-
JF907741	ncbi-nuccore-hmpv	HMPV	A	A2b2
JF907742	ncbi-nuccore-hmpv	HMPV	B	B2
JF907743	ncbi-nuccore-hmpv	HMPV	B	B1
JF907744	ncbi-nuccore-hmpv	HMPV	A	-
JF907745	ncbi-nuccore-hmpv	HMPV	B	-
JF907746	ncbi-nuccore-hmpv	HMPV	B	B2
JF907747	ncbi-nuccore-hmpv	HMPV	B	-
JF907748	ncbi-nuccore-hmpv	HMPV	B	-
JF907749	ncbi-nuccore-hmpv	HMPV	B	B2
JF907750	ncbi-nuccore-hmpv	HMPV	B	B2
JF907751	ncbi-nuccore-hmpv	HMPV	B	B2
JF907752	ncbi-nuccore-hmpv	HMPV	B	B2
JF907753	ncbi-nuccore-hmpv	HMPV	B	B2
JF907754	ncbi-nuccore-hmpv	HMPV	B	-
JF907755	ncbi-nuccore-hmpv	HMPV	B	-
JF929831	ncbi-nuccore-hmpv	HMPV	A	-
JF929832	ncbi-nuccore-hmpv	HMPV	A	-
JF929833	ncbi-nuccore-hmpv	HMPV	A	A1
JF929834	ncbi-nuccore-hmpv	HMPV	A	A1
JF929835	ncbi-nuccore-hmpv	HMPV	A	A1
JF929836	ncbi-nuccore-hmpv	HMPV	A	A1
JF929837	ncbi-nuccore-hmpv	HMPV	A	A1
JF929838	ncbi-nuccore-hmpv	HMPV	A	A1
JF929839	ncbi-nuccore-hmpv	HMPV	A	A1
JF929840	ncbi-nuccore-hmpv	HMPV	A	-
JF929841	ncbi-nuccore-hmpv	HMPV	A	-
JF929842	ncbi-nuccore-hmpv	HMPV	A	-
JF929843	ncbi-nuccore-hmpv	HMPV	A	-
JF929844	ncbi-nuccore-hmpv	HMPV	A	-
JF929845	ncbi-nuccore-hmpv	HMPV	A	-
JF929846	ncbi-nuccore-hmpv	HMPV	A	-
JF929847	ncbi-nuccore-hmpv	HMPV	A	-
JF929848	ncbi-nuccore-hmpv	HMPV	A	A2b1
JF929849	ncbi-nuccore-hmpv	HMPV	A	A2b1
JF929850	ncbi-nuccore-hmpv	HMPV	A	-
JF929851	ncbi-nuccore-hmpv	HMPV	A	-
JF929852	ncbi-nuccore-hmpv	HMPV	A	-
JF929853	ncbi-nuccore-hmpv	HMPV	A	-
JF929854	ncbi-nuccore-hmpv	HMPV	A	A2a
JF929855	ncbi-nuccore-hmpv	HMPV	A	A2a
JF929856	ncbi-nuccore-hmpv	HMPV	A	A2a
JF929857	ncbi-nuccore-hmpv	HMPV	A	A2a
JF929858	ncbi-nuccore-hmpv	HMPV	A	A2a
JF929859	ncbi-nuccore-hmpv	HMPV	A	A2a
JF929860	ncbi-nuccore-hmpv	HMPV	B	B1
JF929861	ncbi-nuccore-hmpv	HMPV	B	B1
JF929862	ncbi-nuccore-hmpv	HMPV	B	-
JF929863	ncbi-nuccore-hmpv	HMPV	B	B1
JF929864	ncbi-nuccore-hmpv	HMPV	B	B1
JF929865	ncbi-nuccore-hmpv	HMPV	B	B1
JF929866	ncbi-nuccore-hmpv	HMPV	B	B1
JF929867	ncbi-nuccore-hmpv	HMPV	B	B1
JF929868	ncbi-nuccore-hmpv	HMPV	B	B1
JF929869	ncbi-nuccore-hmpv	HMPV	B	B1
JF929870	ncbi-nuccore-hmpv	HMPV	-	-
JF929871	ncbi-nuccore-hmpv	HMPV	-	-
JF929872	ncbi-nuccore-hmpv	HMPV	-	-
JF929873	ncbi-nuccore-hmpv	HMPV	-	-
JF929874	ncbi-nuccore-hmpv	HMPV	B	B2
JF929875	ncbi-nuccore-hmpv	HMPV	B	B2
JF929876	ncbi-nuccore-hmpv	HMPV	B	B2
JF929877	ncbi-nuccore-hmpv	HMPV	B	B2
JF929878	ncbi-nuccore-hmpv	HMPV	B	B2
JF929879	ncbi-nuccore-hmpv	HMPV	B	B2
JF929880	ncbi-nuccore-hmpv	HMPV	B	B2
JF929881	ncbi-nuccore-hmpv	HMPV	B	B2
JF929882	ncbi-nuccore-hmpv	HMPV	B	B2
JF929883	ncbi-nuccore-hmpv	HMPV	B	B2
JF929884	ncbi-nuccore-hmpv	HMPV	B	B2
JF929885	ncbi-nuccore-hmpv	HMPV	B	B2
JF929886	ncbi-nuccore-hmpv	HMPV	B	B2
JF929887	ncbi-nuccore-hmpv	HMPV	B	B2
JF929888	ncbi-nuccore-hmpv	HMPV	B	B2
JF929889	ncbi-nuccore-hmpv	HMPV	B	B2
JF929890	ncbi-nuccore-hmpv	HMPV	B	B2
JF929891	ncbi-nuccore-hmpv	HMPV	B	B2
JF929892	ncbi-nuccore-hmpv	HMPV	-	-
JF929893	ncbi-nuccore-hmpv	HMPV	B	B2
JF929894	ncbi-nuccore-hmpv	HMPV	B	B2
JF929895	ncbi-nuccore-hmpv	HMPV	B	B2
JF929896	ncbi-nuccore-hmpv	HMPV	B	B2
JF929897	ncbi-nuccore-hmpv	HMPV	B	B2
JF929898	ncbi-nuccore-hmpv	HMPV	-	-
JF929899	ncbi-nuccore-hmpv	HMPV	B	B2
JF929900	ncbi-nuccore-hmpv	HMPV	B	B2
JF929901	ncbi-nuccore-hmpv	HMPV	B	B2
JF929902	ncbi-nuccore-hmpv	HMPV	B	B2
JF929903	ncbi-nuccore-hmpv	HMPV	B	B2
JN166985	ncbi-nuccore-hmpv	HMPV	A	-
JN166986	ncbi-nuccore-hmpv	HMPV	A	-
JN166987	ncbi-nuccore-hmpv	HMPV	A	-
JN166988	ncbi-nuccore-hmpv	HMPV	A	-
JN166989	ncbi-nuccore-hmpv	HMPV	A	-
JN166990	ncbi-nuccore-hmpv	HMPV	A	-
JN166991	ncbi-nuccore-hmpv	HMPV	A	A2b2
JN166992	ncbi-nuccore-hmpv	HMPV	A	A2b2
JN166993	ncbi-nuccore-hmpv	HMPV	A	-
JN166994	ncbi-nuccore-hmpv	HMPV	A	-
JN166995	ncbi-nuccore-hmpv	HMPV	A	-
JN166996	ncbi-nuccore-hmpv	HMPV	A	-
JN166997	ncbi-nuccore-hmpv	HMPV	A	-
JN166998	ncbi-nuccore-hmpv	HMPV	A	-
JN166999	ncbi-nuccore-hmpv	HMPV	A	-
JN167000	ncbi-nuccore-hmpv	HMPV	A	-
JN167001	ncbi-nuccore-hmpv	HMPV	A	-
JN167002	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN167003	ncbi-nuccore-hmpv	HMPV	A	-
JN167004	ncbi-nuccore-hmpv	HMPV	A	A2b2
JN167005	ncbi-nuccore-hmpv	HMPV	A	-
JN167006	ncbi-nuccore-hmpv	HMPV	A	-
JN167007	ncbi-nuccore-hmpv	HMPV	A	-
JN167008	ncbi-nuccore-hmpv	HMPV	A	-
JN167009	ncbi-nuccore-hmpv	HMPV	A	-
JN167010	ncbi-nuccore-hmpv	HMPV	A	-
JN167011	ncbi-nuccore-hmpv	HMPV	A	-
JN167012	ncbi-nuccore-hmpv	HMPV	A	-
JN167013	ncbi-nuccore-hmpv	HMPV	A	-
JN167014	ncbi-nuccore-hmpv	HMPV	A	-
JN167015	ncbi-nuccore-hmpv	HMPV	A	-
JN167016	ncbi-nuccore-hmpv	HMPV	A	-
JN167017	ncbi-nuccore-hmpv	HMPV	A	-
JN167018	ncbi-nuccore-hmpv	HMPV	A	-
JN167019	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN167020	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN167021	ncbi-nuccore-hmpv	HMPV	A	-
JN167022	ncbi-nuccore-hmpv	HMPV	A	-
JN167023	ncbi-nuccore-hmpv	HMPV	A	-
JN167024	ncbi-nuccore-hmpv	HMPV	A	-
JN167025	ncbi-nuccore-hmpv	HMPV	A	-
JN167026	ncbi-nuccore-hmpv	HMPV	A	-
JN167027	ncbi-nuccore-hmpv	HMPV	A	-
JN167028	ncbi-nuccore-hmpv	HMPV	A	-
JN167029	ncbi-nuccore-hmpv	HMPV	B	B1
JN167030	ncbi-nuccore-hmpv	HMPV	B	B1
JN167031	ncbi-nuccore-hmpv	HMPV	B	B1
JN167032	ncbi-nuccore-hmpv	HMPV	B	B1
JN167033	ncbi-nuccore-hmpv	HMPV	B	B1
JN167034	ncbi-nuccore-hmpv	HMPV	B	B1
JN167035	ncbi-nuccore-hmpv	HMPV	B	B1
JN167036	ncbi-nuccore-hmpv	HMPV	B	B1
JN167037	ncbi-nuccore-hmpv	HMPV	B	-
JN167038	ncbi-nuccore-hmpv	HMPV	B	-
JN167039	ncbi-nuccore-hmpv	HMPV	B	-
JN167040	ncbi-nuccore-hmpv	HMPV	B	B2
JN167041	ncbi-nuccore-hmpv	HMPV	B	-
JN167042	ncbi-nuccore-hmpv	HMPV	B	B2
JN167043	ncbi-nuccore-hmpv	HMPV	B	B2
JN167044	ncbi-nuccore-hmpv	HMPV	B	B2
JN184399	ncbi-nuccore-hmpv	HMPV	A	A1
JN184400	ncbi-nuccore-hmpv	HMPV	A	-
JN184401	ncbi-nuccore-hmpv	HMPV	B	B1
JN184402	ncbi-nuccore-hmpv	HMPV	B	B2
JN200816	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN604816	ncbi-nuccore-hmpv	HMPV	B	B2
JN604817	ncbi-nuccore-hmpv	HMPV	-	-
JN604818	ncbi-nuccore-hmpv	HMPV	B	B2
JN604819	ncbi-nuccore-hmpv	HMPV	B	B2
JN604820	ncbi-nuccore-hmpv	HMPV	A	A2a
JN604821	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN604822	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN604823	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN604824	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN604825	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN604826	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN604827	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN604828	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN604829	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN604830	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN817384	ncbi-nuccore-hmpv	HMPV	B	B2
JN817385	ncbi-nuccore-hmpv	HMPV	A	A2a
JN831611	ncbi-nuccore-hmpv	HMPV	B	B2
JN831612	ncbi-nuccore-hmpv	HMPV	B	B2
JN831613	ncbi-nuccore-hmpv	HMPV	B	B2
JN831614	ncbi-nuccore-hmpv	HMPV	B	B2
JN831615	ncbi-nuccore-hmpv	HMPV	B	B2
JN831616	ncbi-nuccore-hmpv	HMPV	B	B2
JN831617	ncbi-nuccore-hmpv	HMPV	B	B2
JN831618	ncbi-nuccore-hmpv	HMPV	B	B2
JN831619	ncbi-nuccore-hmpv	HMPV	B	B2
JN831620	ncbi-nuccore-hmpv	HMPV	B	B2
JN831621	ncbi-nuccore-hmpv	HMPV	B	B2
JN831622	ncbi-nuccore-hmpv	HMPV	B	B2
JN831623	ncbi-nuccore-hmpv	HMPV	B	B2
JN831624	ncbi-nuccore-hmpv	HMPV	B	B2
JN831625	ncbi-nuccore-hmpv	HMPV	A	A2b2
JN831626	ncbi-nuccore-hmpv	HMPV	A	A2b2
JN831627	ncbi-nuccore-hmpv	HMPV	B	B1
JN831628	ncbi-nuccore-hmpv	HMPV	A	A2b2
JN831629	ncbi-nuccore-hmpv	HMPV	-	-
JN831630	ncbi-nuccore-hmpv	HMPV	B	B2
JN831631	ncbi-nuccore-hmpv	HMPV	B	B2
JN831632	ncbi-nuccore-hmpv	HMPV	B	B2
JN831633	ncbi-nuccore-hmpv	HMPV	B	B2
JN831634	ncbi-nuccore-hmpv	HMPV	B	B2
JN831635	ncbi-nuccore-hmpv	HMPV	B	-
JN831636	ncbi-nuccore-hmpv	HMPV	B	B2
JN831637	ncbi-nuccore-hmpv	HMPV	B	B2
JN831638	ncbi-nuccore-hmpv	HMPV	B	-
JN831639	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN831640	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN831641	ncbi-nuccore-hmpv	HMPV	B	B1
JN831642	ncbi-nuccore-hmpv	HMPV	A	-
JN967912	ncbi-nuccore-hmpv	HMPV	A	A2a
JN967913	ncbi-nuccore-hmpv	HMPV	A	A2a
JN974883	ncbi-nuccore-hmpv	HMPV	A	A2b2
JN974884	ncbi-nuccore-hmpv	HMPV	A	A2b2
JN974885	ncbi-nuccore-hmpv	HMPV	A	A2b2
JN974886	ncbi-nuccore-hmpv	HMPV	A	A2b2
JN974887	ncbi-nuccore-hmpv	HMPV	A	A2b2
JN974888	ncbi-nuccore-hmpv	HMPV	A	A2b2
JN974889	ncbi-nuccore-hmpv	HMPV	A	A2b2
JN974890	ncbi-nuccore-hmpv	HMPV	B	B1
JN974891	ncbi-nuccore-hmpv	HMPV	A	A2b2
JN974892	ncbi-nuccore-hmpv	HMPV	A	A2b2
JN974893	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN974894	ncbi-nuccore-hmpv	HMPV	A	-
JN974895	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN974896	ncbi-nuccore-hmpv	HMPV	A	A2b1
JN974897	ncbi-nuccore-hmpv	HMPV	A	-
JN974898	ncbi-nuccore-hmpv	HMPV	A	-
JN974899	ncbi-nuccore-hmpv	HMPV	A	-
JN974900	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ041674	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041675	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041676	ncbi-nuccore-hmpv	HMPV	B	-
JQ041677	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041678	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041679	ncbi-nuccore-hmpv	HMPV	B	B1
JQ041680	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041681	ncbi-nuccore-hmpv	HMPV	B	B1
JQ041682	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041683	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041684	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041685	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041686	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041687	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041688	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041689	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041690	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041691	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041692	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041693	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041694	ncbi-nuccore-hmpv	HMPV	B	B2
JQ041695	ncbi-nuccore-hmpv	HMPV	B	B2
JQ083718	ncbi-nuccore-hmpv	HMPV	B	B1
JQ083719	ncbi-nuccore-hmpv	HMPV	B	B2
JQ181560	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181561	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181562	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181563	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181564	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181565	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181566	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181567	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181568	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181569	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181570	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181571	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181572	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181573	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181574	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181575	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181576	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181577	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181578	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181579	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181580	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181581	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181582	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181583	ncbi-nuccore-hmpv	HMPV	B	B1
JQ181584	ncbi-nuccore-hmpv	HMPV	B	B1
JQ309641	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309642	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309643	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ309644	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309645	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309646	ncbi-nuccore-hmpv	HMPV	A	A1
JQ309647	ncbi-nuccore-hmpv	HMPV	B	B2
JQ309648	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309649	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309650	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309651	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309652	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309653	ncbi-nuccore-hmpv	HMPV	A	-
JQ309654	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309655	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309656	ncbi-nuccore-hmpv	HMPV	A	-
JQ309657	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ309658	ncbi-nuccore-hmpv	HMPV	B	B2
JQ309659	ncbi-nuccore-hmpv	HMPV	B	B2
JQ309660	ncbi-nuccore-hmpv	HMPV	B	B2
JQ309661	ncbi-nuccore-hmpv	HMPV	B	B1
JQ309662	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ309663	ncbi-nuccore-hmpv	HMPV	B	B2
JQ309664	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309665	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309666	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ309667	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309668	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309669	ncbi-nuccore-hmpv	HMPV	B	B1
JQ309670	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309671	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ309672	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ309673	ncbi-nuccore-hmpv	HMPV	-	-
JQ309674	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ309675	ncbi-nuccore-hmpv	HMPV	B	B2
JQ309676	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ309677	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ309678	ncbi-nuccore-hmpv	HMPV	-	-
JQ309679	ncbi-nuccore-hmpv	HMPV	B	B2
JQ309680	ncbi-nuccore-hmpv	HMPV	B	B2
JQ309681	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ309682	ncbi-nuccore-hmpv	HMPV	-	-
JQ317189	ncbi-nuccore-hmpv	HMPV	B	B2
JQ317190	ncbi-nuccore-hmpv	HMPV	B	B2
JQ317191	ncbi-nuccore-hmpv	HMPV	B	B2
JQ317192	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ317193	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ317194	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ317195	ncbi-nuccore-hmpv	HMPV	B	B1
JQ317196	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ317197	ncbi-nuccore-hmpv	HMPV	A	A2b2
JQ317198	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ317199	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ317200	ncbi-nuccore-hmpv	HMPV	B	B2
JQ317201	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ317202	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ317203	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ317204	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ317205	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ317206	ncbi-nuccore-hmpv	HMPV	A	A2b2
JQ317207	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ317208	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ317209	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ317210	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ317211	ncbi-nuccore-hmpv	HMPV	A	-
JQ317212	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ317213	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ317214	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ317215	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ317216	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ317217	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ317218	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ413388	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ413389	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ413391	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ413392	ncbi-nuccore-hmpv	HMPV	A	A2a
JQ413393	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ413394	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ413395	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ413396	ncbi-nuccore-hmpv	HMPV	A	A2b1
JQ413397	ncbi-nuccore-hmpv	HMPV	B	B1
JQ413398	ncbi-nuccore-hmpv	HMPV	B	B1
JQ413399	ncbi-nuccore-hmpv	HMPV	B	B1
JQ413400	ncbi-nuccore-hmpv	HMPV	B	B1
JQ413401	ncbi-nuccore-hmpv	HMPV	B	B1
JQ413402	ncbi-nuccore-hmpv	HMPV	B	B1
JQ413403	ncbi-nuccore-hmpv	HMPV	B	B2
JQ413404	ncbi-nuccore-hmpv	HMPV	B	B2
JQ413405	ncbi-nuccore-hmpv	HMPV	A	A1
JQ413406	ncbi-nuccore-hmpv	HMPV	A	A1
JQ413407	ncbi-nuccore-hmpv	HMPV	A	A1
JQ413408	ncbi-nuccore-hmpv	HMPV	A	A1
JQ413409	ncbi-nuccore-hmpv	HMPV	A	A1
JQ413410	ncbi-nuccore-hmpv	HMPV	A	A1
JQ413411	ncbi-nuccore-hmpv	HMPV	A	A1
JQ413412	ncbi-nuccore-hmpv	HMPV	A	A1
JQ513461	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513462	ncbi-nuccore-hmpv	HMPV	-	-
JQ513463	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513464	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513465	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513466	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513467	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513468	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513469	ncbi-nuccore-hmpv	HMPV	-	-
JQ513470	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513471	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513472	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513473	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513474	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513475	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513476	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513477	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513478	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513479	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513480	ncbi-nuccore-hmpv	HMPV	B	B2
JQ513481	ncbi-nuccore-hmpv	HMPV	B	B2
